label,text
1,"Today, I voted against H.R. 1. This bill is a deliberate attempt by the House Democratic Majority to suppress First Amendment rights, spend taxpayer dollars and empower Washington bureaucrats – all under the guise of election reform.  https://t.co/ZEybIqomGf"
0,Thank you Governor @GregAbbott_TX and congratulations @TAMU. I'm proud of our world-class university as it continues to build upon it's successes! Whoop! https://t.co/aUH8HJBpZN
0,I had great time touring the @TAMU National Aerothermochemistry and Hypersonics Laboratory and learning more about the exciting work they are doing. https://t.co/F0XIZYabZ9
1,I am about to give a Washington update on @WTAW1620. Tune in or listen online https://t.co/Bc8WygGBuq
0,I look forward to continuing my work with @POTUS to help everyone achieve the American dream. #SOTU https://t.co/9poeatNX5Q
0,It's difficult to find the words for what we witnessed on the Texas border. I spoke with Joy Reid on @AMJoyShow about what we saw. Make no mistake: Family separations are still happening. https://t.co/pN5YTjjCMX
0,"Time and again we have to ask, what is the president hiding? We still don’t have his tax returns or the Mueller report. I went on ⁦@ThisWeekABC⁩ to discuss our push for the truth. #ReleaseTheFullReport and #TaxReturns  https://t.co/TFsj5xLsgW"
0,Of course! https://t.co/dnMi8MhyYX
1,"In December, I asked Google CEO @SundarPichai to ensure access to justice by ending Google’s forced arbitration policies.

Today, justice won. Google announced an end to forced arbitration for ALL forms of discrimination.
https://t.co/6QMMbVljHc"
0,#PDX: Come share your health care story and why you support #MedicareForAll! I’m looking forward to meeting you tomorrow! #PDXMedicareForAll https://t.co/n2TFvq18uU
0,Thank you @JeffFlake for speaking up against Islamophobia and the right for your Muslim opponent to run. We need more of this!
0,Thank goodness we now have a woman who is the Democratic Ranking Member on the Judiciary Committee.  This really DOES matter.
0,"This administration's corrupt response to COVID-19 has not been enough, and the American people are paying the price."
0,"And it eliminates the $4,000 personal exemption that every taxpayer can take for themselves, their spouse and each dependent child."
0,"In the end, brothers and sisters, remember this: it is not just about WHAT we fight for, it is about HOW we fight for it."
0,One way to make sure there is no evidence to.corroborate Dr. Ford's testimony is to make sure there is no Investigation. That has been the GOP playbook.
0,Every single person should have access to clean water. No matter the color of their skin or the ZIP code they live in.
0,The presidential debate commission should include mandatory mask wearing for anyone in the audience. No exceptions.
0,"The question is not whether we can afford Medicare for All. We can’t afford to continue without it. 
https://t.co/M3ntrpnJQn"
0,"Cut the Pentagon's budget by at least 10%, and invest that money into our communities. There are so many things we could do with $74 billion. But what we should not do is give it away to corrupt defense contractors. https://t.co/oX7T7zFRHB"
0,"We'll fight this all the way. Trump, Zinke and their ilk are looting our public lands. Thanks to Patagonia and the tribes for suing and challenging whether they even have the authority to do this. https://t.co/PGWROQbP9u"
0,"With an unemployment rate not seen since the Great Depression &amp; a President with a long history of giving favors to his wealthy friends, it is crucial that every piece of #COVID legislation we pass includes strict watchdog protections. #STOPCOVIDCorruption
https://t.co/HoXiR5yRRS"
0,"BIG win today in the Senate to #SavetheInternet! It comes to my chamber next, and we need everyone to keep mobilizing and organizing and making calls in order to overcome GOP opposition and restore #NetNeutrality! 

Take action 👉🏽 https://t.co/a2jn5CZ37g https://t.co/MDHpoqx60t"
0,.@AFTunion president and school teacher herself @rweingarten just delivered an incrediblly compelling &amp; impassioned testimony about the desperate conditions in our schools and the need for Congress to invest. Brava!
0,"Electing progressives up and down the ballot will take organizing power like we’ve never seen before, and we only have TWO days to go.

Sign up to volunteer before Washington state’s primaries to get out the vote for these people-first champions:
https://t.co/yv7Q7F8odv"
1,"I am always willing to stand up for what I believe in, but I will always do it as respectfully as possible and with a goal toward building the greatest power.
 
This strategy is working and @USProgressives have more power than ever before.
https://t.co/975vLnv8qR"
0,The #DomesticWorkersBillofRights would help close the pay gap for Black women and support the economic security of Black families. During #BlackHistoryMonth and every month I am proud to support this important legislation.
0,I am proud to spotlight Novella Taunesha Gardmer of Back Creek Christian High School https://t.co/6eE6coDhNk
0,I am saddened to hear about the $20 Million in damage to @TSUedu from the Nashville tornadoes. You can support Tennessee State University’s recovery here: https://t.co/UX0xNDYGE8
0,"Today, I am announcing my SOTU guest. His story is one of perseverance and overcoming overwhelming obstacles. His experiences are all too common, and it’s time for us to work together to address it."
1,I'm joining Patrick Cannon LIVE on @OldSchool1053 on Saturday morning at 9AM to discuss the challenges facing our community &amp; our nation. Listen in!
